medalType,medalDate,athleteName,countryName,disciplineName
Bronze Medal,2021-08-06,O'HARA Kelley,United States of America,Football
Bronze Medal,2021-08-06,HORAN Lindsey,United States of America,Football
Bronze Medal,2021-08-06,WILLIAMS Lynn,United States of America,Football
Bronze Medal,2021-08-06,RAPINOE Megan,United States of America,Football
Bronze Medal,2021-08-06,LAVELLE Rose,United States of America,Football
Bronze Medal,2021-08-06,SAUERBRUNN Becky,United States of America,Football
Bronze Medal,2021-08-06,MEWIS Samantha,United States of America,Football
Bronze Medal,2021-08-06,DAVIDSON Tierna,United States of America,Football
Bronze Medal,2021-08-06,HEATH Tobin,United States of America,Football
Gold Medal,2021-08-06,MATLA Frederique,Netherlands,Hockey
Gold Medal,2021-08-06,NUNNINK Laura Maria,Netherlands,Hockey
Gold Medal,2021-08-06,PHENINCKX Malou,Netherlands,Hockey
Gold Medal,2021-08-06,SANDERS Pien,Netherlands,Hockey
Gold Medal,2021-08-06,STAM Lauren Lara Jeanette,Netherlands,Hockey
Gold Medal,2021-08-06,van GEFFEN Margot,Netherlands,Hockey
Gold Medal,2021-08-06,van MAASAKKER Caia Jacqueline,Netherlands,Hockey
Gold Medal,2021-08-06,VERSCHOOR Maria,Netherlands,Hockey
Gold Medal,2021-08-06,WELTEN Lidewij Marsia Maria,Netherlands,Hockey
Gold Medal,2021-08-06,ALBERS Felice,Netherlands,Hockey
Gold Medal,2021-08-06,de GOEDE Eva Roma Maria,Netherlands,Hockey
Gold Medal,2021-08-06,de WAARD Xan Gerdien,Netherlands,Hockey
Gold Medal,2021-08-06,KEETELS Marloes Johanna Maria,Netherlands,Hockey
Gold Medal,2021-08-06,KONING Josine,Netherlands,Hockey
Gold Medal,2021-08-06,KOOLEN Sanne Anne Leonie,Netherlands,Hockey
Gold Medal,2021-08-06,LEURINK Laurien,Netherlands,Hockey
Silver Medal,2021-08-06,SUCCI Maria Belen,Argentina,Hockey
Silver Medal,2021-08-06,ALONSO Agostina,Argentina,Hockey
Silver Medal,2021-08-06,ALBERTARRIO Agustina,Argentina,Hockey
Silver Medal,2021-08-06,MERINO Delfina,Argentina,Hockey
Silver Medal,2021-08-06,GRANATTO Maria Jose,Argentina,Hockey
Silver Medal,2021-08-06,JANKUNAS Julieta,Argentina,Hockey
Silver Medal,2021-08-06,RETEGUI Micaela,Argentina,Hockey
Silver Medal,2021-08-06,TOCCALINO Sofia,Argentina,Hockey
Silver Medal,2021-08-06,SAUZE VALDEZ Victoria,Argentina,Hockey
Silver Medal,2021-08-06,COSTA BIONDI Valentina Isabel,Argentina,Hockey
Silver Medal,2021-08-06,GRANATTO Maria Victoria,Argentina,Hockey
Silver Medal,2021-08-06,TRINCHINETTI Eugenia Maria,Argentina,Hockey
Silver Medal,2021-08-06,GORZELANY Agustina,Argentina,Hockey
Silver Medal,2021-08-06,FORCHERIO Maria Emilia,Argentina,Hockey
Silver Medal,2021-08-06,BARRIONUEVO Maria Noel,Argentina,Hockey
Silver Medal,2021-08-06,SANCHEZ MOCCIA Rocio,Argentina,Hockey
Silver Medal,2021-08-06,MACCARI Sofia,Argentina,Hockey
Silver Medal,2021-08-06,RAPOSO RUIZ de los LLANOS Valentina,Argentina,Hockey
Bronze Medal,2021-08-06,ANSLEY Giselle,Great Britain,Hockey
Bronze Medal,2021-08-06,BALSDON Grace,Great Britain,Hockey
Bronze Medal,2021-08-06,CRACKLES Fiona Anne,Great Britain,Hockey
Bronze Medal,2021-08-06,HINCH Madeleine Claire,Great Britain,Hockey
Bronze Medal,2021-08-06,JONES Sarah Louise,Great Britain,Hockey
Bronze Medal,2021-08-06,MARTIN Hannah,Great Britain,Hockey
Bronze Medal,2021-08-06,McCALLIN Shona,Great Britain,Hockey
Bronze Medal,2021-08-06,OWSLEY Lily,Great Britain,Hockey
Bronze Medal,2021-08-06,PEARNE-WEBB Hollie,Great Britain,Hockey
Bronze Medal,2021-08-06,PETTER Isabelle,Great Britain,Hockey
Bronze Medal,2021-08-06,RAYER Elena Sian,Great Britain,Hockey
Bronze Medal,2021-08-06,ROBERTSON Sarah,Great Britain,Hockey
Bronze Medal,2021-08-06,TOMAN Anna-Frances,Great Britain,Hockey
Bronze Medal,2021-08-06,TOWNSEND Susannah,Great Britain,Hockey
Bronze Medal,2021-08-06,UNSWORTH Laura,Great Britain,Hockey
Bronze Medal,2021-08-06,WILKINSON Leah Julia,Great Britain,Hockey
Gold Medal,2021-08-06,KIYUNA Ryo,Japan,Karate
Silver Medal,2021-08-06,QUINTERO Damian,Spain,Karate
Bronze Medal,2021-08-06,SOFUOGLU Ali,Turkey,Karate
Bronze Medal,2021-08-06,TORRES GUTIERREZ Ariel,United States of America,Karate
Gold Medal,2021-08-06,BUSA Luigi,Italy,Karate
Silver Medal,2021-08-06,AGHAYEV Rafael,Azerbaijan,Karate
Bronze Medal,2021-08-06,HARSPATAKI Karoly Gabor,Hungary,Karate
Bronze Medal,2021-08-06,HORUNA Stanislav,Ukraine,Karate
Gold Medal,2021-08-06,PREKOVIC Jovana,Serbia,Karate
Silver Medal,2021-08-06,YIN Xiaoyan,People's Republic of China,Karate
Bronze Medal,2021-08-06,LOTFY Giana,Egypt,Karate
Bronze Medal,2021-08-06,COBAN Merve,Turkey,Karate
Gold Medal,2021-08-06,FRENCH Kate,Great Britain,Modern Pentathlon
Silver Medal,2021-08-06,ASADAUSKAITE Laura,Lithuania,Modern Pentathlon
Bronze Medal,2021-08-06,KOVACS Sarolta,Hungary,Modern Pentathlon
Gold Medal,2021-08-06,GARNBRET Janja,Slovenia,Sport Climbing
Silver Medal,2021-08-06,NONAKA Miho,Japan,Sport Climbing
Bronze Medal,2021-08-06,NOGUCHI Akiyo,Japan,Sport Climbing
Gold Medal,2021-08-06,MA Long,People's Republic of China,Table Tennis
Gold Medal,2021-08-06,XU Xin,People's Republic of China,Table Tennis
Gold Medal,2021-08-06,FAN Zhendong,People's Republic of China,Table Tennis
Silver Medal,2021-08-06,OVTCHAROV Dimitrij,Germany,Table Tennis
Silver Medal,2021-08-06,BOLL Timo,Germany,Table Tennis
Silver Medal,2021-08-06,FRANZISKA Patrick,Germany,Table Tennis
Bronze Medal,2021-08-06,NIWA Koki,Japan,Table Tennis
Bronze Medal,2021-08-06,HARIMOTO Tomokazu,Japan,Table Tennis
Bronze Medal,2021-08-06,MIZUTANI Jun,Japan,Table Tennis
Gold Medal,2021-08-06,STEVESON Gable Dan,United States of America,Wrestling
Silver Medal,2021-08-06,PETRIASHVILI Geno,Georgia,Wrestling
Bronze Medal,2021-08-06,ZARE Amir Hossein,Islamic Republic of Iran,Wrestling
Bronze Medal,2021-08-06,AKGUL Taha,Turkey,Wrestling
Gold Medal,2021-08-06,SIDAKOV Zaurbek,ROC,Wrestling
Silver Medal,2021-08-06,KADZIMAHAMEDAU Mahamedkhabib,Belarus,Wrestling
Bronze Medal,2021-08-06,DAKE Kyle Douglas,United States of America,Wrestling
Bronze Medal,2021-08-06,ABDURAKHMONOV Bekzod,Uzbekistan,Wrestling
Gold Medal,2021-08-06,MUKAIDA Mayu,Japan,Wrestling
Silver Medal,2021-08-06,PANG Qianyu,People's Republic of China,Wrestling
Bronze Medal,2021-08-06,KALADZINSKAYA Vanesa,Belarus,Wrestling
Bronze Medal,2021-08-06,BAT OCHIR Bolortuya,Mongolia,Wrestling
Gold Medal,2021-08-07,ROMASHINA Svetlana,ROC,Artistic Swimming
Gold Medal,2021-08-07,KOLESNICHENKO Svetlana,ROC,Artistic Swimming
Gold Medal,2021-08-07,PATSKEVICH Aleksandra,ROC,Artistic Swimming
Gold Medal,2021-08-07,SHISHKINA Alla,ROC,Artistic Swimming
Gold Medal,2021-08-07,CHIGIREVA Vlada,ROC,Artistic Swimming
Gold Medal,2021-08-07,GOLIADKINA Marina,ROC,Artistic Swimming
Gold Medal,2021-08-07,KOMAR Polina,ROC,Artistic Swimming
Gold Medal,2021-08-07,SHUROCHKINA Maria,ROC,Artistic Swimming
Silver Medal,2021-08-07,SUN Wenyan,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,FENG Yu,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,HUANG Xuechen,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,GUO Li,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,LIANG Xinping,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,YIN Chengxin,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,XIAO Yanning,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-07,WANG Qianyi,People's Republic of China,Artistic Swimming
Bronze Medal,2021-08-07,FIEDINA Marta,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,YAKHNO Yelyzaveta,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,ALEKSIIVA Vladyslava,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,ALEKSIIVA Maryna,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,REZNIK Kateryna,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,SHYNKARENKO Alina,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,SYDORENKO Kseniya,Ukraine,Artistic Swimming
Bronze Medal,2021-08-07,SAVCHUK Anastasiya,Ukraine,Artistic Swimming
Gold Medal,2021-08-07,INGEBRIGTSEN Jakob,Norway,Athletics
Silver Medal,2021-08-07,CHERUIYOT Timothy,Kenya,Athletics
Bronze Medal,2021-08-07,KERR Josh,Great Britain,Athletics
Gold Medal,2021-08-07,ROSS Randolph,United States of America,Athletics
Gold Medal,2021-08-07,BENJAMIN Rai,United States of America,Athletics
Gold Medal,2021-08-07,STEWART Trevor,United States of America,Athletics
Gold Medal,2021-08-07,NORWOOD Vernon,United States of America,Athletics
Gold Medal,2021-08-07,DEADMON Bryce,United States of America,Athletics
Gold Medal,2021-08-07,CHERRY Michael,United States of America,Athletics
Gold Medal,2021-08-07,NORMAN Michael,United States of America,Athletics
Silver Medal,2021-08-07,van DIEPEN Tony,Netherlands,Athletics
Silver Medal,2021-08-07,AGARD Terrence,Netherlands,Athletics
Silver Medal,2021-08-07,ANGELA Ramsey,Netherlands,Athletics
Silver Medal,2021-08-07,BONEVACIA Liemarvin,Netherlands,Athletics
Silver Medal,2021-08-07,DOBBER Jochem,Netherlands,Athletics
Bronze Medal,2021-08-07,MAKWALA Isaac,Botswana,Athletics
Bronze Medal,2021-08-07,NGOZI Zibane,Botswana,Athletics
Bronze Medal,2021-08-07,THEBE Baboloki,Botswana,Athletics
Bronze Medal,2021-08-07,NDORI Bayapo,Botswana,Athletics
Gold Medal,2021-08-07,CHOPRA Neeraj,India,Athletics
Silver Medal,2021-08-07,VADLEJCH Jakub,Czech Republic,Athletics
Bronze Medal,2021-08-07,VESELY Vitezslav,Czech Republic,Athletics
Gold Medal,2021-08-07,HASSAN Sifan,Netherlands,Athletics
Silver Medal,2021-08-07,GEZAHEGNE Kalkidan,Bahrain,Athletics
Bronze Medal,2021-08-07,GIDEY Letesenbet,Ethiopia,Athletics
Gold Medal,2021-08-07,WHITNEY Kaylin,United States of America,Athletics
Gold Medal,2021-08-07,ELLIS Kendall,United States of America,Athletics
Gold Medal,2021-08-07,MUHAMMAD Dalilah,United States of America,Athletics
Gold Medal,2021-08-07,McLAUGHLIN Sydney,United States of America,Athletics
Gold Medal,2021-08-07,IRBY Lynna,United States of America,Athletics
Gold Medal,2021-08-07,JONATHAS Wadeline,United States of America,Athletics
Gold Medal,2021-08-07,MU Athing,United States of America,Athletics
Gold Medal,2021-08-07,FELIX Allyson,United States of America,Athletics
Silver Medal,2021-08-07,HOLUB-KOWALIK Malgorzata,Poland,Athletics
Silver Medal,2021-08-07,KIELBASINSKA Anna,Poland,Athletics
Silver Medal,2021-08-07,SWIETY-ERSETIC Justyna,Poland,Athletics
Silver Medal,2021-08-07,BAUMGART-WITAN Iga,Poland,Athletics
Silver Medal,2021-08-07,KACZMAREK Natalia,Poland,Athletics
Bronze Medal,2021-08-07,BROMFIELD Junelle,Jamaica,Athletics
Bronze Medal,2021-08-07,JACKSON Shericka,Jamaica,Athletics
Bronze Medal,2021-08-07,RUSSELL Janieve,Jamaica,Athletics
Bronze Medal,2021-08-07,WILLIAMS Stacey Ann,Jamaica,Athletics
Bronze Medal,2021-08-07,McGREGOR Roneisha,Jamaica,Athletics
Bronze Medal,2021-08-07,McLEOD Candice,Jamaica,Athletics
Gold Medal,2021-08-07,LASITSKENE Mariya,ROC,Athletics
Silver Medal,2021-08-07,McDERMOTT Nicola,Australia,Athletics
Bronze Medal,2021-08-07,MAHUCHIKH Yaroslava,Ukraine,Athletics
Gold Medal,2021-08-07,JEPCHIRCHIR Peres,Kenya,Athletics
Silver Medal,2021-08-07,KOSGEI Brigid,Kenya,Athletics
Bronze Medal,2021-08-07,SEIDEL Molly,United States of America,Athletics
Gold Medal,2021-08-07,SAKAMOTO Hayato,Japan,Baseball/Softball
Gold Medal,2021-08-07,YAMASAKI Yasuaki,Japan,Baseball/Softball
Gold Medal,2021-08-07,IWAZAKI Suguru,Japan,Baseball/Softball
Gold Medal,2021-08-07,UMENO Ryutaro,Japan,Baseball/Softball
Gold Medal,2021-08-07,MORISHITA Masato,Japan,Baseball/Softball
Gold Medal,2021-08-07,KIKUCHI Ryosuke,Japan,Baseball/Softball
Gold Medal,2021-08-07,SUZUKI Seiya,Japan,Baseball/Softball
Gold Medal,2021-08-07,OHNO Yudai,Japan,Baseball/Softball
Gold Medal,2021-08-07,YAMADA Tetsuto,Japan,Baseball/Softball
Gold Medal,2021-08-07,MURAKAMI Munetaka,Japan,Baseball/Softball
Gold Medal,2021-08-07,GENDA Sosuke,Japan,Baseball/Softball
Gold Medal,2021-08-07,TAIRA Kaima,Japan,Baseball/Softball
Gold Medal,2021-08-07,SENGA Koudai,Japan,Baseball/Softball
Gold Medal,2021-08-07,KAI Takuya,Japan,Baseball/Softball
Gold Medal,2021-08-07,YANAGITA Yuki,Japan,Baseball/Softball
Gold Medal,2021-08-07,KONDOH Kensuke,Japan,Baseball/Softball
Gold Medal,2021-08-07,ASAMURA Hideto,Japan,Baseball/Softball
Gold Medal,2021-08-07,YAMAMOTO Yoshinobu,Japan,Baseball/Softball
Gold Medal,2021-08-07,YOSHIDA Masataka,Japan,Baseball/Softball
Gold Medal,2021-08-07,AOYAGI Koyo,Japan,Baseball/Softball
Gold Medal,2021-08-07,KURIBAYASHI Ryoji,Japan,Baseball/Softball
Gold Medal,2021-08-07,KURIHARA Ryoya,Japan,Baseball/Softball
Gold Medal,2021-08-07,ITOH Hiromi,Japan,Baseball/Softball
Gold Medal,2021-08-07,TANAKA Masahiro,Japan,Baseball/Softball
Silver Medal,2021-08-07,CARTER Anthony,United States of America,Baseball/Softball
Silver Medal,2021-08-07,DICKSON Brandon,United States of America,Baseball/Softball
Silver Medal,2021-08-07,ROBERTSON David,United States of America,Baseball/Softball
Silver Medal,2021-08-07,ALVAREZ Eddy,United States of America,Baseball/Softball
Silver Medal,2021-08-07,JACKSON JR Edwin,United States of America,Baseball/Softball
Silver Medal,2021-08-07,MARTINEZ Nick,United States of America,Baseball/Softball
Silver Medal,2021-08-07,FRAZIER Todd,United States of America,Baseball/Softball
Silver Medal,2021-08-07,CASAS Triston,United States of America,Baseball/Softball
Silver Medal,2021-08-07,FILIA Eric,United States of America,Baseball/Softball
Silver Medal,2021-08-07,FEDEROWICZ Tim,United States of America,Baseball/Softball
Silver Medal,2021-08-07,ALLEN Nick,United States of America,Baseball/Softball
Silver Medal,2021-08-07,WESTBROOK Jamie,United States of America,Baseball/Softball
Silver Medal,2021-08-07,KOLOZSVARY Mark,United States of America,Baseball/Softball
Silver Medal,2021-08-07,AUSTIN Tyler,United States of America,Baseball/Softball
Silver Medal,2021-08-07,WOODS RICHARDSON Simeon,United States of America,Baseball/Softball
Silver Medal,2021-08-07,RYAN Joe,United States of America,Baseball/Softball
Silver Medal,2021-08-07,BAZ Shane,United States of America,Baseball/Softball
Silver Medal,2021-08-07,STARLING Bubba,United States of America,Baseball/Softball
Silver Medal,2021-08-07,LOPEZ Jack,United States of America,Baseball/Softball
Silver Medal,2021-08-07,GOSE Anthony,United States of America,Baseball/Softball
Silver Medal,2021-08-07,KAZMIR Scott,United States of America,Baseball/Softball
Silver Medal,2021-08-07,McGOUGH Scott,United States of America,Baseball/Softball
Silver Medal,2021-08-07,KIVLEHAN Patrick,United States of America,Baseball/Softball
Silver Medal,2021-08-07,RYAN Ryder,United States of America,Baseball/Softball
Bronze Medal,2021-08-07,GARCIA Junior,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,CASTILLO Luis,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,MIESES Johan,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,RODRIGUEZ Julio,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,ROSSO Ramon,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,VALDES Raul,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,BALDWIN Roldani,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,SANCHEZ Angel,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,MERCEDES Cristopher,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,ALVAREZ Dario,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,ARIAS Gabriel,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,ASENCIO Jairo,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,CABRERA Melky,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,PEREZ Yefri,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,MARINEZ Jhan,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,NUNEZ Gustavo,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,VALERIO Charlie,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,GUZMAN Jeison,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,MEJIA Erick,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,REYES Denyi,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,BAUTISTA Jose,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,BONIFACIO Emilio,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,DIAZ Jose,Dominican Republic,Baseball/Softball
Bronze Medal,2021-08-07,FRANCISCO Juan,Dominican Republic,Baseball/Softball
Gold Medal,2021-08-07,MCGEE Javale,United States of America,Basketball
Gold Medal,2021-08-07,MIDDLETON Khris,United States of America,Basketball
Gold Medal,2021-08-07,TATUM Jayson,United States of America,Basketball
Gold Medal,2021-08-07,DURANT Kevin,United States of America,Basketball
Gold Medal,2021-08-07,BOOKER Devin,United States of America,Basketball
Gold Medal,2021-08-07,GREEN Draymond,United States of America,Basketball
Gold Medal,2021-08-07,LILLARD Damian,United States of America,Basketball
Gold Medal,2021-08-07,GRANT Jerami,United States of America,Basketball
Gold Medal,2021-08-07,LAVINE Zach,United States of America,Basketball
Gold Medal,2021-08-07,HOLIDAY Jrue,United States of America,Basketball
Gold Medal,2021-08-07,JOHNSON Keldon,United States of America,Basketball
Gold Medal,2021-08-07,ADEBAYO Bam,United States of America,Basketball
Silver Medal,2021-08-07,CORNELIE Petr,France,Basketball
Silver Medal,2021-08-07,ALBICY Andrew,France,Basketball
Silver Medal,2021-08-07,HEURTEL Thomas,France,Basketball
Silver Medal,2021-08-07,NTILIKINA Frank,France,Basketball
Silver Medal,2021-08-07,de COLO Nando,France,Basketball
Silver Medal,2021-08-07,FOURNIER Evan,France,Basketball
Silver Medal,2021-08-07,BATUM Nicolas,France,Basketball
Silver Medal,2021-08-07,LUWAWU CABARROT Timothe,France,Basketball
Silver Medal,2021-08-07,YABUSELE Guerschon,France,Basketball
Silver Medal,2021-08-07,FALL Moustapha,France,Basketball
Silver Medal,2021-08-07,GOBERT Rudy,France,Basketball
Silver Medal,2021-08-07,POIRIER Vincent,France,Basketball
Bronze Medal,2021-08-07,GREEN Josh,Australia,Basketball
Bronze Medal,2021-08-07,BAYNES Aron,Australia,Basketball
Bronze Medal,2021-08-07,DELLAVEDOVA Matthew,Australia,Basketball
Bronze Medal,2021-08-07,EXUM Dante,Australia,Basketball
Bronze Medal,2021-08-07,GOULDING Chris,Australia,Basketball
Bronze Medal,2021-08-07,INGLES Joe,Australia,Basketball
Bronze Medal,2021-08-07,KAY Nic,Australia,Basketball
Bronze Medal,2021-08-07,LANDALE Jock,Australia,Basketball
Bronze Medal,2021-08-07,MILLS Patty,Australia,Basketball
Bronze Medal,2021-08-07,THYBULLE Matisse,Australia,Basketball
Bronze Medal,2021-08-07,REATH Duop Thomas,Australia,Basketball
Bronze Medal,2021-08-07,SOBEY Nathan,Australia,Basketball
Gold Medal,2021-08-07,MOL Anders Berntsen,Norway,Beach Volleyball
Gold Medal,2021-08-07,SORUM Christian Sandlie,Norway,Beach Volleyball
Silver Medal,2021-08-07,KRASILNIKOV Viacheslav,ROC,Beach Volleyball
Silver Medal,2021-08-07,STOYANOVSKIY Oleg,ROC,Beach Volleyball
Bronze Medal,2021-08-07,YOUNOUSSE Cherif,Qatar,Beach Volleyball
Bronze Medal,2021-08-07,TIJAN Ahmed,Qatar,Beach Volleyball
Gold Medal,2021-08-07,YAFAI Galal,Great Britain,Boxing
Silver Medal,2021-08-07,PAALAM Carlo,Philippines,Boxing
Gold Medal,2021-08-07,SOUSA Hebert,Brazil,Boxing
Silver Medal,2021-08-07,KHYZHNIAK Oleksandr,Ukraine,Boxing
Gold Medal,2021-08-07,KRASTEVA Stoyka Zhelyazkova,Bulgaria,Boxing
Silver Medal,2021-08-07,CAKIROGLU Buse Naz,Turkey,Boxing
Gold Medal,2021-08-07,SURMENELI Busenaz,Turkey,Boxing
Silver Medal,2021-08-07,GU Hong,People's Republic of China,Boxing
Gold Medal,2021-08-07,QUEIROZ dos SANTOS Isaquias,Brazil,Canoe Sprint
Silver Medal,2021-08-07,LIU Hao,People's Republic of China,Canoe Sprint
Bronze Medal,2021-08-07,TARNOVSCHI Serghei,Republic of Moldova,Canoe Sprint
Gold Medal,2021-08-07,LEMKE Max,Germany,Canoe Sprint
Gold Medal,2021-08-07,LIEBSCHER Tom,Germany,Canoe Sprint
Gold Medal,2021-08-07,RAUHE Ronald,Germany,Canoe Sprint
Gold Medal,2021-08-07,RENDSCHMIDT Max,Germany,Canoe Sprint
Silver Medal,2021-08-07,AREVALO Carlos,Spain,Canoe Sprint
Silver Medal,2021-08-07,CRAVIOTTO Saul,Spain,Canoe Sprint
Silver Medal,2021-08-07,GERMADE Rodrigo,Spain,Canoe Sprint
Silver Medal,2021-08-07,WALZ Marcus,Spain,Canoe Sprint
Bronze Medal,2021-08-07,BALAZ Samuel,Slovakia,Canoe Sprint
Bronze Medal,2021-08-07,BOTEK Adam,Slovakia,Canoe Sprint
Bronze Medal,2021-08-07,MYSAK Denis,Slovakia,Canoe Sprint
Bronze Medal,2021-08-07,VLCEK Erik,Slovakia,Canoe Sprint
Gold Medal,2021-08-07,SUN Mengya,People's Republic of China,Canoe Sprint
Gold Medal,2021-08-07,XU Shixiao,People's Republic of China,Canoe Sprint
Silver Medal,2021-08-07,LUZAN Liudmyla,Ukraine,Canoe Sprint
Silver Medal,2021-08-07,CHETVERIKOVA Anastasiia,Ukraine,Canoe Sprint
Bronze Medal,2021-08-07,VINCENT-LAPOINTE Laurence,Canada,Canoe Sprint
Bronze Medal,2021-08-07,VINCENT Katie,Canada,Canoe Sprint
Gold Medal,2021-08-07,BODONYI Dora,Hungary,Canoe Sprint
Gold Medal,2021-08-07,KOZAK Danuta,Hungary,Canoe Sprint
Gold Medal,2021-08-07,CSIPES Tamara,Hungary,Canoe Sprint
Gold Medal,2021-08-07,KARASZ Anna,Hungary,Canoe Sprint
Silver Medal,2021-08-07,LITVINCHUK Maryna,Belarus,Canoe Sprint
Silver Medal,2021-08-07,MAKHNEVA Marharyta,Belarus,Canoe Sprint
Silver Medal,2021-08-07,PAPOK Nadzeya,Belarus,Canoe Sprint
Silver Medal,2021-08-07,KHUDZENKA Volha,Belarus,Canoe Sprint
Bronze Medal,2021-08-07,NAJA Karolina,Poland,Canoe Sprint
Bronze Medal,2021-08-07,PULAWSKA Anna,Poland,Canoe Sprint
Bronze Medal,2021-08-07,ISKRZYCKA Justyna,Poland,Canoe Sprint
Bronze Medal,2021-08-07,WISNIEWSKA Helena,Poland,Canoe Sprint
Gold Medal,2021-08-07,HANSEN Lasse Norman,Denmark,Cycling Track
Gold Medal,2021-08-07,MORKOV Michael,Denmark,Cycling Track
Silver Medal,2021-08-07,WALLS Matthew,Great Britain,Cycling Track
Silver Medal,2021-08-07,HAYTER Ethan,Great Britain,Cycling Track
Bronze Medal,2021-08-07,GRONDIN Donavan,France,Cycling Track
Bronze Medal,2021-08-07,THOMAS Benjamin,France,Cycling Track
Gold Medal,2021-08-07,CAO Yuan,People's Republic of China,Diving
Silver Medal,2021-08-07,YANG Jian,People's Republic of China,Diving
Bronze Medal,2021-08-07,DALEY Thomas,Great Britain,Diving
Gold Medal,2021-08-07,von ECKERMANN Henrik,Sweden,Equestrian
Gold Medal,2021-08-07,BARYARD-JOHNSSON Malin,Sweden,Equestrian
Gold Medal,2021-08-07,FREDRICSON Peder,Sweden,Equestrian
Silver Medal,2021-08-07,SPRINGSTEEN Jessica,United States of America,Equestrian
Silver Medal,2021-08-07,KRAUT Laura,United States of America,Equestrian
Silver Medal,2021-08-07,WARD McLain,United States of America,Equestrian
Bronze Medal,2021-08-07,DEVOS Pieter,Belgium,Equestrian
Bronze Medal,2021-08-07,GUERY Jerome,Belgium,Equestrian
Bronze Medal,2021-08-07,WATHELET Gregory,Belgium,Equestrian
Gold Medal,2021-08-07,CLAUDINHO,Brazil,Football
Gold Medal,2021-08-07,SANTOS,Brazil,Football
Gold Medal,2021-08-07,ANTONY,Brazil,Football
Gold Medal,2021-08-07,ABNER,Brazil,Football
Gold Medal,2021-08-07,BRENNO,Brazil,Football
Gold Medal,2021-08-07,FUCHS Bruno,Brazil,Football
Gold Medal,2021-08-07,GUIMARAES Bruno,Brazil,Football
Gold Medal,2021-08-07,DOUGLAS LUIZ,Brazil,Football
Gold Medal,2021-08-07,ALVES Dani,Brazil,Football
Gold Medal,2021-08-07,DIEGO CARLOS,Brazil,Football
Gold Medal,2021-08-07,ARANA Guilherme,Brazil,Football
Gold Medal,2021-08-07,MENINO Gabriel,Brazil,Football
Gold Medal,2021-08-07,MARTINELLI Gabriel,Brazil,Football
Gold Medal,2021-08-07,LUCAO,Brazil,Football
Gold Medal,2021-08-07,CUNHA Matheus,Brazil,Football
Gold Medal,2021-08-07,NINO,Brazil,Football
Gold Medal,2021-08-07,MALCOM,Brazil,Football
Gold Medal,2021-08-07,MATHEUS HENRIQUE,Brazil,Football
Gold Medal,2021-08-07,PAULINHO,Brazil,Football
Gold Medal,2021-08-07,RICHARLISON,Brazil,Football
Gold Medal,2021-08-07,REINIER,Brazil,Football
Gold Medal,2021-08-07,GRACA Ricardo,Brazil,Football
Silver Medal,2021-08-07,ZUBIMENDI Martin,Spain,Football
Silver Medal,2021-08-07,GIL Oscar,Spain,Football
Silver Medal,2021-08-07,MINGUEZA Oscar,Spain,Football
Silver Medal,2021-08-07,ASENSIO Marco,Spain,Football
Silver Medal,2021-08-07,CEBALLOS Dani,Spain,Football
Silver Medal,2021-08-07,CUCURELLA Marc,Spain,Football
Silver Medal,2021-08-07,GIL Bryan,Spain,Football
Silver Medal,2021-08-07,GONZALEZ Pedri,Spain,Football
Silver Medal,2021-08-07,FERNANDEZ Alvaro,Spain,Football
